"GeneID","Symbol","Description"
"100039723","Gm2389","Sp140 nuclear body protein pseudogene"
"100039724","Fkbp1a-ps3","FK506 binding protein 1a, pseudogene 3"
"100039725","Gm2390","WD repeat domain 53 pseudogene"
"100039726","Gm11486","predicted gene 11486"
"100039727","1700049E15Rik","RIKEN cDNA 1700049E15 gene"
"100039730","Gm12168","predicted gene 12168"
"100039731","Gm10051","predicted pseudogene 10051"
"100039735","Gm2395","predicted gene 2395"
"100039736","Gm15762","predicted gene 15762"
"100039739","A430060F13Rik","RIKEN cDNA A430060F13 gene"
"100039740","Rps18-ps6","ribosomal protein S18, pseudogene 6"
"100039743","Gm2398","polyglutamine binding protein 1 pseudogene"
"100039748","Rpl15-ps6","ribosomal protein L15, pseudogene 6"
"100039750","Gm2404","predicted gene 2404"
"100039751","Rps12-ps21","ribosomal protein S12, pseudogene 22"
"100039753","Gm20815","predicted gene, 20815"
"100039757","Gm10153","predicted gene 10153"
"100039760","Gm15148","ribosomal protein L39 pseudogene"
"100039762","Gm10293","glyceraldehyde-3-phosphate dehydrogenase pseudogene"
"100039763","Cldn34c6","claudin 34C6"
"100039764","Gm2412","predicted gene 2412"
"100039774","Gm11405","zinc finger protein 384 pseudogene"
"100039775","Gm2420","predicted gene 2420"
"100039781","Hrct1","histidine rich carboxyl terminus 1"
"100039782","Gm10709","ribosomal protein L29 pseudogene"
"100039786","Gm2423","predicted gene 2423"
"100039787","Gm2424","cell division cycle associated 7 pseudogene"
"100039789","Ccl19-ps5","C-C motif chemokine ligand 19, pseudogene 5"
"100039790","Trbv3","T cell receptor beta, variable 3"
"100039794","Gm2427","predicted gene 2427"
"100039795","Ildr2","immunoglobulin-like domain containing receptor 2"
"100039796","Tgtp2","T cell specific GTPase 2"
"100039798","Gm2429","NADH dehydrogenase (ubiquinone) flavoprotein 2, pseudogene"
"100039801","Cldn24","claudin 24"
"100039805","D5Ertd605e","DNA segment, Chr 5, ERATO Doi 605, expressed"
